,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
188,Fri Dec 15 04:05:33 +0000 2023,1735511386531463199,Perlu PENJELASAN Yang kongkrit terkait penyampaian Pak @prabowo @Gerindra ini... Supaya tidak jadi PRESEDEN BURUK kedepan apabila beliau diberi Amanah.! Apakah benar Video tersebut?Konteks apa.?! Kapan Dimana disampaikan.?! @budimandjatmiko @AK__aja @__AnakKolong @adearmando61,0,0,0,0,in,41673261,1735511386531463199,meiyer,https://twitter.com/meiyer/status/1735511386531463199
189,Fri Dec 15 04:05:30 +0000 2023,1735511375982841963,"@Tita83079013 @aniesbaswedan @prabowo @ganjarpranowo Kalau Nggak Suka,Jangan Tinggal di Negri Ini.Tinggal di Negri Yang Mayoritas Kafir",0,0,0,0,in,1630890442777841666,1735459746289959401,Irwansy96179363,https://twitter.com/Irwansy96179363/status/1735511375982841963
190,Fri Dec 15 04:05:29 +0000 2023,1735511368659550340,"@Speedtrap_ @budimandjatmiko Suara kami untukk nomer 2 pokoknya MasDar , amin semoga menang di satu putarann prabowo-gibran!!!  #DARihati  https://t.co/ZT4iueutuC",0,0,0,0,in,1720757904297627648,1692033574088876528,evifauzia263079,https://twitter.com/evifauzia263079/status/1735511368659550340
191,Fri Dec 15 04:05:27 +0000 2023,1735511361210437703,NGIRING DUKUNG SARENG SARENG PUTRA BALI🔥 #jokowi #ngurahharta #prabowo https://t.co/RQKWIX0usX,0,0,0,0,in,1717417568695463936,1735511361210437703,AgusSusant83395,https://twitter.com/AgusSusant83395/status/1735511361210437703
192,Fri Dec 15 04:05:21 +0000 2023,1735511335176441999,@ayamkepal @Ganjaran_app @Heraloebss @gibran_tweet @prabowo @golkar_id @Gerindra @datuakrajoangek @psi_id Betul  anak tukang becak yang sekarang sudah bisa kuliah dan jadi sarjana dan sekarang saat nya anak tukang becak bisa bermimpi lebih tinggi,0,0,0,0,in,815001450166091777,1735337243500552340,dadupradana212,https://twitter.com/dadupradana212/status/1735511335176441999
193,Fri Dec 15 04:05:20 +0000 2023,1735511332961804515,@Heraloebss @gibran_tweet @prabowo @golkar_id @Gerindra @datuakrajoangek @psi_id Ngimmmpiiiiiii  Membangun dari hongkong 🙄🙄🙄,0,0,0,0,in,1086089252067106816,1735337243500552340,BalutRoy,https://twitter.com/BalutRoy/status/1735511332961804515
194,Fri Dec 15 04:05:19 +0000 2023,1735511327668666758,"@DokterTifa Sehat-sehat ya pak @prabowo🩷 Kesehatan bapak yang lebih utama. Sy yakin Bapak bangga dengan Pak @aniesbaswedan yg sdh bapak usung jd gub DKI saat itu, tyt bapak ga salah pilih. Kami jd bs melihat putra terbaik negri ini. Terimakasih pak Prabowo.",0,0,0,0,in,1443683522,1735069979157176530,FitriyahUtami,https://twitter.com/FitriyahUtami/status/1735511327668666758
195,Fri Dec 15 04:05:09 +0000 2023,1735511286354788431,"Menurut Dosen UGM Nyarwi Ahmad, citra “gemoy” Prabowo selama ini merupakan bagian dari ilusi realitas yang dibuat. https://t.co/wwYiib68cK",0,0,1,2,in,23343960,1735511286354788431,kompascom,https://twitter.com/kompascom/status/1735511286354788431
196,Fri Dec 15 04:05:08 +0000 2023,1735511282567336392,"Elektabilitas tembus 45 persen, AHY: Prabowo bisa menang satu putaran. mua  AgusYudhoyono PDemokrat Demokrat Bareng AHY https://t.co/AhBXv6h7E5",0,0,0,0,in,560467737,1735511282567336392,APhontiP,https://twitter.com/APhontiP/status/1735511282567336392
197,Fri Dec 15 04:05:03 +0000 2023,1735511262266560831,@Kaum__Jelata @99propaganda @ajengcute16__ @alextham878 @Lembayung071 @ignasbowo @Minietweets_ @mpoklela7 @bengkeldodo @P4P4B0W0_2024 Pilih yg asli melalui beberapa kali penyaringan alias tertempa alam.   Dan itu hanya #Prabowo,0,0,1,1,in,1189039138835554304,1735509890553045250,BANGSAygSUJUD,https://twitter.com/BANGSAygSUJUD/status/1735511262266560831
198,Fri Dec 15 04:05:03 +0000 2023,1735511261977399719,"Beri pujian ke AHY, Prabowo: Pemimpin yang hebat untuk bangsa Indonesia. muj  PDemokrat AgusYudhoyono Demokrat Bareng AHY https://t.co/MUiTMzF4eM",0,0,0,0,in,560467737,1735511261977399719,APhontiP,https://twitter.com/APhontiP/status/1735511261977399719
199,Fri Dec 15 04:05:03 +0000 2023,1735511261025280217,"@PartaiSocmed @aniesbaswedan @prabowo Umur 15 tahun belum punya hak pilih. Bukan berarti tidak boleh mendukung, sudah dikonfirmasi sama ayahnya benar Harun Al Rasyid adalah pendukung prabowo. Nuduh orang hoax dengan membuaylt tuduhan hoax. Anda butuh mantel intelligence",0,0,0,0,in,1630964973429223424,1734926880015601827,Makobex20,https://twitter.com/Makobex20/status/1735511261025280217
200,Fri Dec 15 04:05:02 +0000 2023,1735511256558350396,@KompasTV Memang di sesalkan sekolam . karena bisa menggerus suara Prabowo 🤣🤣,0,0,0,0,in,1603631478427963392,1735301909853122755,EngeeEng,https://twitter.com/EngeeEng/status/1735511256558350396
201,Fri Dec 15 04:05:02 +0000 2023,1735511255648178297,@dedeegumu5h @kumparan @prabowo Heleh gaya loo sok,0,0,0,0,in,245265597,1735189322385481796,nabildetra,https://twitter.com/nabildetra/status/1735511255648178297
